CCL__ID	CCL__form	CCL__meaning_en
C594	ⲃⲁϩ, ϥⲁϩ	penis
C347	ⲃⲁⲕⲓ	city, town
C350	ⲃⲉⲕⲉ, ⲃⲉⲉⲕⲉ, ⲃⲏⲕⲉ, ⲃⲉⲭⲉ, ⲃⲁⲭⲉ, ⲃⲉⲕⲏ, ⲃⲓⲕⲉ, ⲃⲉⲕⲏⲩⲉ, ⲃⲉⲕⲉⲩⲉ, ⲃⲉⲕⲏⲟⲩⲉ, ⲃⲉⲭⲏⲟⲩⲓ, ⲃⲉⲕⲁⲩⲉ, ⲃⲉⲕⲁⲩⲓ, ⲃⲱⲕ	wage
C391	ⲃⲱⲕ, ⲉⲃⲓⲁⲓⲕ, ⲃⲁⲓⲁⲓⲕ, ϩⲙϩⲁⲗ	servant, slave
C397	ⲃⲱⲕⲓ, ⲃⲱⲕ	servant, slave
C361	ⲃⲏⲕⲉ	woof
C447	ⲃⲁⲗⲕⲟⲩ	bottle for water
C538	ⲃⲁⲥ, ⲃⲏⲥⲉ	an utensile of bronze
C539	ⲃⲏⲥⲉ, ⲃⲁⲥ	pail, well-bucket
C319	ⲃⲁ, ⲃⲟⲓ, ⲃⲁⲉ, ⲃⲁⲉⲓ, ⲃⲁⲓ, ⲃⲉⲓ, ⲃⲁⲓⲉ, ⲃⲁⲉⲓⲏ	branch of date-palm
C329	ⲃⲉⲉⲃⲉ, ⲃⲉⲃⲉ, ⲃⲉⲃⲟⲩ, ⲃⲉⲃⲓ	bubble, well up
C4651	ϯⲟⲩ	five
C4051	ϯ	battle, fight
C4589	ϯ	make give, require
C4655	ⲧⲁⲓⲟⲩ	fifty
C2531	ⲛⲧⲉ	prefixe of conjunctive
C4149	ⲧⲁⲓ, ⲧⲏ	here
C4018	ⲧⲏ, ⲧⲁⲓ	there
C4020	ϯ	give, pay, sell
C4022	ϯ	gift, bounty
C4589	ϯ	make give, require
C4323	ⲧⲙⲉⲧ	totality
C4324	ⲧⲱⲙⲧ	meet, befall
C4325	ⲧⲱⲙⲧ	meeting, event
C4409	ⲧⲟⲡ	edge, end, bord of garment
C4418	ⲧⲱⲡⲉ	taste
C4419	ϯⲡⲉ	taste
C7236	ϫⲁⲛⲉ	box, ark
C7238	ϫⲁⲛⲟ	basket
C4084	ⲧⲱⲱⲃⲉ	brick, adobe
C4085	ⲧⲱⲱⲃⲉ	brick, adobe
C3800	ⲥⲧⲉⲃⲁⲉⲓϩ, ⲥⲟⲧⲃⲉϥ	tool, utensil, weapon
C706	ⲉⲣⲏⲧ, ⲧⲱⲃϩ	vow, promise, devote
C4143	ⲧⲱⲃϩ	pray, entreat
C4144	ⲧⲱⲃϩ	prayer
C4271	ⲧⲉⲗϥⲓ	a kind of lizard
C4378	ⲧⲛϩ	wing
C7271	ϫⲛⲁϩ	forearm, wing
C4261	ⲧⲱⲗⲙ	be defiled, be besmirched
C4262	ⲧⲱⲗⲙ	stain, pollution
C4093	ⲧⲱⲱⲃⲉ	repay, requite
C4094	ⲧⲱⲱⲃⲉ	requital
C4166	ⲧⲁⲓⲃⲉ	chest, coffin, pouch, large box
C4167	ⲧⲁⲓⲃⲉ	chest, coffin, pouch, large box
C493	ⲃⲛⲧⲛⲉϭⲗⲟϭ, ϭⲗⲟϭ	gourd
C7697	ϭⲗⲟϭ	gourd
C7255	ϫⲛⲓⲧ	trial
C4408	ϯⲡⲉ	loins
C4870	ⲧⲱϭⲣ	be fixed, be joined
C4092	ⲧⲃⲃⲉ, ⲧⲉⲃⲓ	seal
C4078	ⲧⲉⲃⲓ, ⲧⲃⲃⲉ	obole
C4079	ⲧⲉⲃⲓ, ⲧⲃⲃⲉ	obole
C4081	ⲧⲏⲏⲃⲉ	finger
C4089	ⲧⲟⲟⲃⲉⲥ, ⲧⲟⲟⲃϥ	seal's impress
C4090	ⲧⲟⲟⲃⲉⲥ, ⲧⲟⲟⲃϥ	seal's impress
C4086	ⲧⲱⲱⲃⲉ	seal
C4088	ⲧⲱⲱⲃⲉ	seal
C4093	ⲧⲱⲱⲃⲉ	repay, requite
C4094	ⲧⲱⲱⲃⲉ	requital
C7127	ϫⲟⲟⲕⲉϥ	goad, sting
C7124	ϫⲱⲕⲉ	prick, sting, goad
C7125	ϫⲱⲕⲉ	prick, sting
C7126	ϫⲱⲕⲉ	hole
C4236	ⲑⲗⲏ, ⲧⲗⲧⲗ	drip, let drop
C4266	ⲧⲗⲧⲗ, ⲧⲗⲏ	drip, let drop
C4267	ⲧⲗⲧⲗ	dripping
C4268	ⲧⲗϯⲗⲉ	drop
C4269	ⲧⲗϯⲗⲉ	drop
C3349	ϣϫⲥⲱⲃⲉ, ϣⲁϫⲉ	rediculous, jesting talk
C6216	ϣⲁϫⲉ	speak, say
C6217	ϣⲁϫⲉ	saying, word, affair
C300	ⲁϫⲱ, ⲁϫⲓ, ⲁϫⲉ, ⲁϫⲟ, ⲁϫⲟⲧ, ⲉϫⲓ, ϫⲱ	say!
C7089	ϫⲱ	say, speak, tell
C7091	ϫⲱ	singing, song
C7098	ϫⲱ	cup
C2561	ⲛⲧⲉⲣⲉ	when, after
C7521	ϫⲁϫⲉ	enemy
C7522	ϫⲁϫⲉ	enemy
C7523	ϫⲁϫⲉ	hostile
C7165	ϫⲗⲉ	hindrance
C7166	ϫⲗⲉ, ϭⲗⲟ	fence
C7084	ϫⲟ, ϫⲟⲉ	wall
C7089	ϫⲱ	say, speak, tell
C7091	ϫⲱ	singing, song
C7097	ϫⲱ, ϫⲱϫ	head
C7098	ϫⲱ	cup
C4842	ⲧⲁϫⲣⲟ, ϫⲣⲟ	make strong, make firm, make fast
C7332	ϫⲣⲟ	be or become strong, firm
C7333	ϫⲣⲟ	strength
C7164	ϫⲱⲱⲗⲉ	be hindered
C7642	ϭⲗⲟ	surround
C7643	ϭⲗⲟ, ϭⲣⲟ	hedge, fence
C7700	ϭⲗⲟ	gourd
C7644	ϭⲣⲱ	hedge, fence
C7328	ϫⲱⲱⲣⲉ	scatter, disperse
C7340	ϫⲱⲱⲣⲉ	power, strength
C7341	ϫⲱⲱⲣⲉ	strong, powerful
C7417	ϫⲁⲧϥⲉ	reptile
C4873	ⲧⲁϭⲥⲉ	foot-sole, foot-print
C4225	ⲧⲱⲕⲥ	be pierced, be studded, be fixed, be settled
C4226	ⲧⲱⲕⲥ	piercing, fixture, settlement, pricking, admonition
C4852	ⲧⲁϭ	lump, piece, cake
C4853	ⲧⲁϭ	lump, piece, cake
C4858	ⲧⲱⲱϭⲉ	be fixed, be joined
C4879	ⲧⲱⲱϭⲉ	press firmly
C7075	ϫⲟ	plant, sow
C7076	ϫⲟ	planting, sowing
C7084	ϫⲟ, ϫⲟⲉ	wall
C815	ⲑⲉⲣϣ	linseed
C2018	ⲙⲏⲣϣ, ⲙⲉⲣϣ, ⲙⲣϣ	red, ruddy
C2017	ⲙⲣⲟϣ, ⲙⲣⲁϣ	be red or yellow
C746	ⲉⲧⲏϣⲓ, ⲧⲱⲣϣ	rust , mildew
C4529	ⲧⲱⲣϣ	be red
C4530	ⲧⲱⲣϣ	red
C747	ⲉⲧⲏϣⲓ, ⲉⲧⲉϣⲓ, ⲧⲱⲣϣ	crane, flamingo
C7306	ϫⲏⲣ	be boisterous, merry
C7307	ϫⲏⲣ	boisterousness, sport, revelling
C7328	ϫⲱⲱⲣⲉ	scatter, disperse
C301	ⲁϫⲱ, ⲁϫⲟ, ⲁϫⲟⲩ, ⲉϫⲱ, ⲉϫⲟⲩ, ϩⲃⲱ 	viper
C4661	ⲧⲟⲟⲩ	mountain
C4737	ⲧϩⲟ, ϩⲟⲟⲩ	be bad
C4738	ⲧϩⲟ	badness
C823	ⲑⲟϩ	become bad
C3881	ⲥⲟⲟⲩⲧⲛ	be straight, upright, stretch
C3883	ⲥⲟⲟⲩⲧⲛ	uprightness
C4674	ⲧⲱⲟⲩⲛ	arise
C4675	ⲧⲱⲟⲩⲛ	rising, resurrection
C6953	ϩⲧⲟⲟⲩⲉ	dawn, morning
C4017	ⲧⲏ	underworld
C7098	ϫⲱ	cup
C7097	ϫⲱ, ϫⲱϫ	head
C7497	ϫⲱϫ	head, capital
C7087	ϫⲟⲓ	ship, boat
C7410	ϫⲱⲧⲉ	pierce, penetrate
C7411	ϫⲱⲧⲉ	penetration
C7935	ϭⲓⲱϯ	tip
C7448	ϫⲁϥ	frost
C7449	ϫⲁϥ	a disease
C7455	ϫⲟⲩϥ	burn, scorch
C7457	ϫⲟⲩϥ	burning, ardour, heat
C7216	ϫⲱⲙ	endeavour, make an effort
C7215	ϫⲱⲙ	generation
C7424	ϫⲱⲟⲩ, ϫⲱⲙ	generation
C2334	ⲙⲉϫⲏⲗ	soot
C7321	ϫⲉⲣⲟ	blaze, burn
C7327	ϫⲓⲉⲓⲣⲉ	pod
C7320	ϫⲱⲣ	blacken, be black, make black
C7047	ϫⲁⲓⲉ	desert
C7057	ϫⲏ, ϫⲓⲛϫⲏ	chip of straw, speck of dust
C4649	ϫⲓⲛⲧⲏⲩ, ϫⲟ	burning breath, drought
C7080	ϫⲟ	wind, tempest
C7083	ϫⲟ	armpit
C7084	ϫⲟ, ϫⲟⲉ	wall
C5748	ϣⲏⲃⲉ	rust, verdigris
C7102	ϫⲃⲃⲥ	coal
C7318	ϫⲏⲣ	examiner, spy
C7163	ϫⲗⲗⲉ	grapes of gleaning
C7317	ϫⲱⲣ	examiner, spy
C7320	ϫⲱⲣ	blacken, be black, make black
C2923	ϥⲧⲉⲫⲁⲧ, ϥⲧⲟⲟⲩ	quadruped
C6289	ϥⲧⲟⲟⲩ	four
C6282	ϥⲱⲧⲉ	wipe, wipe off, obliterate
C6284	ϥⲱⲧⲉ	sweat
C6285	ϥⲱⲧⲉ	sweat
C6191	ϣⲁϥⲉ	desert
C6193	ϣⲁϥⲉ	swell
C6194	ϣⲁϥⲉ	swell
C6189	ϣⲱϥ	lay waste, destroy; be desert, laid waste, destroyed
C6190	ϣⲱϥ	devastation, destruction
C6276	ϥⲛⲧ	worm
C6277	ϥⲛⲧ	worm
C6291	ϥⲱϭⲉ	leap, move hastily
C6292	ϥⲱϭⲉ	impetuosity, grasping, greed
C562	ⲃⲱⲧⲉ, ϥⲱⲧⲉ, ϥⲱϭⲉ	pollute, befoul
C6285	ϥⲱⲧⲉ	sweat
C6260	ϥⲓ	bear, carry, take
C6268	ϥⲟ	canal, water conduit
C6269	ϥⲱ	hair
C7579	ϭⲉⲃϭⲓⲃ	fragments, pieces
C7820	ϭⲟⲡ	cutting instrument
C7564	ϭⲃⲓⲉ, ϭⲃⲃⲉ	become weak, tired
C7566	ϭⲃⲃⲉ	become, be feeble, timid
C7570	ϭⲃⲃⲉ	weakness
C7571	ϭⲱⲃ	weak person
C7573	ϭⲱⲃ	weak
C7565	ϭⲃⲟⲓ	arm
C7995	ϭⲓϫ	hand
C7999	ϭⲓϫ	by hand
C7994	ϭϩⲟⲥ	gazelle
C35	ⲁⲗ, ⲕⲟⲩⲣ	deaf
C1286	ⲕⲟⲩⲣ	deaf person
C1287	ⲕⲟⲩⲣ	deaf
C1291	ⲕⲟⲩⲣ	pivot, hinge
C7605	ϭⲁⲗⲉ	lame, crippled person
C7607	ϭⲁⲗⲉ	lame, crippled
C7555	ϭⲱ	remain
C7663	ϭⲗⲟⲙⲗⲙ	be twisted, implicated
C7664	ϭⲗⲟⲙⲗⲙ	complication
C7729	ϭⲁⲓⲙⲉ	hen, domestic fowl
C7750	ϭⲓⲛⲉ	find
C7753	ϭⲓⲛⲉ	find, thing found
C7706	ϭⲟⲙ	power, strength, might, authority
C7707	ϭⲟⲙ	powerful, mighty, strong
C7749	ϭⲟⲟⲛⲉ	valley, gorge, cave
C7765	ϭⲛⲟⲛ	be soft, smooth, weak
C7766	ϭⲛⲟⲛ	softness
C7769	ϭⲛⲟⲛ	bend, bow
C7747	ϭⲟⲛ	valley, gorge, cave
C7767	ϭⲟⲛ	soft
C7768	ϭⲟⲛ	mildness
C7816	ϭⲓⲛϭⲓⲛ	rocket
C7813	ϭⲛϭⲛ	make music, play , sing
C7775	ϭⲟⲛⲥ	might, violence, injustice
C7776	ϭⲟⲛⲥ	violent, forcible
C7550	ϭⲉ	then, therefore, but
C7853	ϭⲣⲉ	birds, fowl
C7649	ϭⲟⲗⲃⲉ	garment
C7870	ϭⲣⲏⲡⲉ	diadem, crown
C7905	ⲕⲣⲕⲏⲟⲩ	foundations, settlements
C7913	ϭⲣⲏϭⲉ	dowry
C7906	ϭⲣⲟϭ	seed
C7908	ϭⲣⲟϭ	sown, fertilized
C7893	ϭⲱⲣϭ	hunt, waylay
C7894	ϭⲱⲣϭ	snare
C7900	ϭⲱⲣϭ	provide, prepare
C7901	ϭⲱⲣϭ	preparation, equipment
C7903	ϭⲱⲣϭ	inhabit, settle, live
C7904	ϭⲱⲣϭ	foundation, habitation
C7898	ϭⲉⲣⲏϭ	hunter
C7896	ϭⲟⲣϭⲥ	ambush, snare, pit
C4817	ⲧϩⲣⲕⲟ, ϩⲣⲟⲕ	make mild, assuage
C6796	ϩⲣⲟⲕ	be still, cease, be quiet
C6797	ϩⲣⲟⲕ	quietness
C7883	ϭⲣⲱϩ	be in want, needy, diminished
C7880	ϭⲱⲣϩ	night
C7881	ϭⲱⲣϩ	nightly
C6798	ϩⲟⲣⲕϥ	silent, quiet
C7862	ϭⲣⲓⲙ	bit, piece, fragment
C7861	ϭⲱⲣⲙ	seize
C7668	ϭⲱⲗⲡ	reveal, uncover, expose, manifest
C7200	ϫⲱⲗϩ, ϭⲱⲱⲗⲉ	swathe, clothe, cover
C7155	ϫⲱⲗ	honeycomb
C7623	ϭⲱⲱⲗⲉ	swathe, clothe, cover
C7624	ϭⲱⲱⲗⲉ	covering, cloak
C7625	ϭⲱⲱⲗⲉ	covered
C7628	ϭⲱⲱⲗⲉ, ϫⲟⲩⲗ	burst, split
C7629	ϭⲱⲱⲗⲉ	flat cake, loaf
C1374	ⲕⲁⲥⲉ, ⲕⲉⲥⲉ, ⲕⲏⲥⲉ	shoemaker
C7925	ϭⲟⲥⲧ	a measure of length
C7917	ϭⲟⲥ	half
C7980	ϭⲏϣⲉ	goose, large duck
C7922	ϭⲟⲥⲙ	darkness
C7982	ϭⲱϣⲧ	look, see, perceive
C7983	ϭⲱϣⲧ	look, glance
C1380	ⲝⲟⲩⲣ, ⲕⲥⲟⲩⲣ, ϭⲥⲟⲩⲣ	finger-ring
C7933	ϭⲱⲧ	drinking trough
C7969	ϭⲟⲟⲩⲛⲉ	sack, sacking
C7970	ϭⲟⲟⲩⲛⲉ	made of sacking, hessian
C4862	ⲧϭⲁⲓⲟ, ϭⲁⲓⲉ	make ugly, disgrace, condemn
C4863	ⲧϭⲁⲓⲟ, ϭⲁⲓⲉ	disgrace, condemnation
C7548	ϭⲁ, ⲧϭⲁⲓⲟ	ugliness
C2721	ⲛⲉϭⲱ, ϭⲁⲓⲉ	be ugly, unseemly, disgraceful
C4864	ϭⲁⲓⲉ, ϭⲁⲓⲉ	ugly one, ugliness, disgrace
C7956	ϭⲱⲟⲩ	be narrow
C7958	ϭⲱⲟⲩ	narrowness
C7549	ϭⲁⲓ	a vessel
C7956	ϭⲱⲟⲩ	be narrow
C7958	ϭⲱⲟⲩ	narrowness
C7959	ϭⲱⲟⲩ	push
C7560	ϭⲱⲱⲃⲉ	leaf
C7689	ϭⲗϩ	shoulder
C1478	ⲕⲁϣ	reed
C1479	ⲕⲁϣ	reed
C1483	ⲕⲁϣ	reed-bed, plantation
C6349	ϩⲁⲓ	husband
C3890	ⲥⲱⲟⲩϩ	be gathered, collected
C3891	ⲥⲱⲟⲩϩ	gathering, assembly
C6386	ϩⲓ	thresh, beat
C6387	ϩⲓ	threshing
C6977	ϩⲓⲟⲩⲉ	strike, cast, lay
C5696	ϣⲁⲓ	new
C5699	ϣⲉ	wood
C5704	ϣⲉ	hundred
C5706	ϣⲉ	small bronze coin
C5707	ϣⲉ, ⲁⲛⲁϣ	by
C5724	ϣⲓⲁⲓ	be long , increase, lengthen
C5725	ϣⲓⲁⲓ	length
C5740	ϣⲱⲓ	genital organs
C5724	ϣⲓⲁⲓ	be long , increase, lengthen
C5725	ϣⲓⲁⲓ	length
C6360	ϩⲉ	manner
C6447	ϩⲃⲃⲉ	plough
C6441	ϩⲃⲁⲓ	shortness
C6439	ϩⲓⲃⲉ	be low, short
C6442	ϩⲓⲃⲱⲓ	ibis
C6315	ϧⲟⲙϧⲉⲙ	be crushed, be broken, be destroyed
C6316	ϧⲟⲙϧⲉⲙ	crushing, fracture, destruction
C6443	ϩⲃⲁ	straits, embarrassment, misfortune
C6435	ϩⲏⲃⲉ	grief, mourning
C6436	ϩⲏⲃⲉ	grief, mourning
C6440	ϩⲃⲃⲉ	low part, place
C5742	ϣⲱⲃ, ϣⲱϥ	shave, crop, shear, clip
C6448	ϩⲱⲃⲕ	prick, incite
C6496	ϩⲱⲃⲕ	sting; encourage
C6451	ϩⲃⲟⲣⲃⲣ	be loosed, fall to pieces
C6453	ϩⲃⲟⲣⲃⲣ	expulsion
C5764	ϣⲃⲏⲣ	friend, comrade
C6462	ϩⲃⲟⲟⲥ	covering, garment
C6463	ϩⲃⲟⲟⲥ	covering, garment
C6464	ϩⲃⲥⲱ	garment
C6459	ϩⲱⲃⲥ	cover, be covered
C6460	ϩⲱⲃⲥ	covering, lid
C6458	ϩⲏⲃⲥ	lamp, candlestick
C6895	ϩⲁⲧⲉ	flow, pour
C6896	ϩⲁⲧⲉ	flow, rush of water
C2711	ⲛⲁϫϩⲉ	tooth
C6864	ϩⲁⲧ	silver, silver coin, money
C6865	ϩⲁⲧ	white
C6952	ϩϯⲧ	beet, onion
C6894	ϩⲱⲧ	to hasten
C6912	ϩⲱⲧⲉ	rub, bruise
C7028	ϩⲱϫ	be in straits
C7029	ϩⲱϫ	straits
C6884	ϩⲏⲧ	north
C7029	ϩⲱϫ	straits
C7031	ϩⲟϫⲉ	a malady
C6956	ϩⲟⲧϩⲧ	inquire, examine
C6957	ϩⲟⲧϩⲧ	inquiry, question
C6927	ϩⲁⲧⲃⲉⲥ	slaughter
C6924	ϩⲱⲧⲃ	kill
C6925	ϩⲱⲧⲃ	slaughter, murder
C6202	ϣⲁϥⲧⲉ	iniquitous, impious
C6199	ϣⲱϥⲧ	stumble, err, commit error
C7010	ϩⲟϥ	serpent
C7011	ϩⲟϥ	serpent
C1107	ⲕⲃⲁ	vengeance
C7027	ϩⲱϩϥ	hand
C7021	ϩⲁϩ	many, much
C7022	ϩⲁϩ	many
C6173	ϣⲱϣ	make equal, level, straight
C6174	ϣⲱϣ	equality, sameness
C6326	ϧⲁϧ	neck
C6422	ϩⲓⲉⲓⲃ	lamb
C6423	ϩⲓⲉⲓⲃ	lamb
C7043	ϩⲁϭⲓⲛ	mint
C6479	ϩⲁⲕⲟ, ⲣⲉϥⲣϩⲓⲕ	magician, wizard
C6471	ϩⲓⲕ	magic
C1748	ⲗϩⲏⲙ, ⲗϩⲙ, ⲉⲗϩⲏⲙ, ⲣϩⲏⲙ	roar
C1749	ⲗϩⲏⲙ, ⲗϩⲙ, ⲉⲗϩⲏⲙ, ⲣϩⲏⲙ	roar
C6660	ϩⲙϩⲙ	roar, neigh
C6661	ϩⲙϩⲙ	roaring, neighing
C6607	ϩⲟⲉⲓⲙ	wave, flood
C6613	ϩⲁⲙⲉ	peg , an implement for marking height of inundation
C6703	ϩⲓⲛⲓⲉ	steering-oar, rudder
C6634	ϩⲙⲙⲉ	guidance; steersman
C6391	ϩⲓⲉ	rudder
C6392	ϩⲓⲉ	rudder
C6606	ϩⲟⲙ	hammer
C6602	ϩⲁⲙ	craftsman
C6606	ϩⲟⲙ	hammer
C6622	ϩⲙⲉ	forty
C6623	ϩⲙⲉ	forty
C6639	ϩⲟⲙⲛⲧ	copper, bronze; money
C5905	ϣⲟⲙⲛⲧ	three
C6664	ϩⲙϫ	vinegar
C6632	ϩⲙⲙⲉ	heat, fever
C6633	ϩⲙⲙⲉ	heat, fever
C5903	ϣⲙⲟⲩⲛ	eight
C5904	ϩⲙⲉⲛⲉ	eighty
C6651	ϩⲙⲁⲓⲥ	buttocks
C4806	ⲑⲙⲥⲟ, ϩⲙⲟⲟⲥ	make to sit, seat
C6649	ϩⲙⲟⲟⲥ	sit, remain, dwell
C6647	ϩⲙⲥ	ear of corn
C6627	ϩⲙⲟⲩ	salt
C6611	ϩⲱⲙ	tread, trample, beat
C6612	ϩⲱⲙ	treading, trampling
C5867	ϣⲏⲙ	small person, thing, quantity
C5869	ϣⲏⲙ	small, few, young, humble
C6701	ϩⲏⲛⲉ	body of cart
C6672	ϩⲓⲛ	vessel, cup; liquid measure
C4810	ⲧⲁϩⲛⲟ	hinder
C4811	ⲧⲁϩⲛⲟ	hindrance
C4807	ⲧϩⲛⲟ, ϩⲱⲛ	make to approach
C6799	ϩⲣⲓⲙ, ϩⲙⲏ	pelican
C3993	ⲥⲁϩⲛⲉ	provide, supply
C3994	ⲥⲁϩⲛⲉ	provision, supply
C6688	ϩⲱⲛ	bid, command
C6689	ϩⲱⲛ	command
C6723	ϩⲛⲁⲩ	vessel, pot, receptacle; thing
C6619	ϩⲟⲙⲉ	cup
C6706	ϩⲱⲛⲉ	canal
C6702	ϩⲓⲛⲉ	move by rowing, row
C6676	ϩⲟⲩⲛ	inward part
C3998	ⲥⲁϩⲛ, ϩⲱⲛ	bring, come near
C6686	ϩⲱⲛ	approach, be nigh, comply with
C6690	ϩⲱⲛ	go aground
C5951	ϣⲟⲛⲧⲉ	plaited work
C5950	ϣⲱⲛⲧ	plait
C6718	ϩⲱⲛⲧ	approach
C6719	ϩⲱⲛⲧ	nearness
C6728	ϩⲛⲱⲱϩⲉ, ϩⲟⲧⲉ	fear
C6714	ϩⲱⲛⲕ	consecrate, appoint
C5391	ⲭⲉⲗⲙⲓ	nipple
C5826	ϣⲱⲗⲙ	smell
C5827	ϣⲱⲗⲙ	sense of smell
C6713	ϩⲟⲛⲃⲉ	spring, well
C5835	ϣⲟⲗⲙⲉⲥ	gnat
C6317	ϧⲉⲛⲓ	quarrel
C1186	ⲕⲟⲗⲡⲥ	theft
C1182	ⲕⲱⲗⲡ	steal, rob
C1183	ⲕⲱⲗⲡ	theft, thing stolen
C6715	ϩⲛⲕⲉ	beer
C5840	ϣⲉⲗⲉⲉⲧ	bride; daughter-in-law
C5815	ϣⲗⲏ	creep
C5805	ϣⲟⲗ	molar tooth, tusk
